"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Jalen Hurts","33","43.4","0.24","49","PHI","QB","4","","a547b04a-38e6-435e-9f9d-81a34e7aac6c"
"James Cook","34","39.1","0.13","11","BUF","RB","13","","cf7f210d-aa77-4481-a6ce-def8eb13c4a7"
"Kenneth Walker III","35","47.2","0.26","26","SEA","RB","14","","ffbb0124-5050-4795-b305-591cb44a8490"
"Garrett Wilson","36","31.4","-0.15","57","NYJ","WR","15","","146fb59c-b8ff-414a-86a7-3c2e612a81c0"
"Davante Adams","37","35.1","-0.05","27","LA","WR","16","","3bca74ae-aea9-4b96-9cfa-ba6320a9dca6"
"Jaxon Smith-Njigba","38","32.9","-0.16","44","SEA","WR","17","","e92d0ab0-3f60-456a-a57f-b689b8107c7a"
"Terry McLaurin","39","42.2","0.08","23","WAS","WR","18","","bdbd91c4-8792-4056-a4b1-dabc074aa580"
"George Pickens","40","43.4","0.08","86","DAL","WR","19","","7db4138f-109b-4b32-8c1b-cd51a4c12d1f"
"Kyren Williams","41","31.6","-0.3","14","LA","RB","15","","48699f93-77e6-48ee-93cc-df880846796f"
"Mike Evans","42","36","-0.17","17","TB","WR","20","","c72e9110-c8be-4bcf-a567-d78c9f3073d1"
"Travis Hunter","43","56.3","0.24","","JAX","WR","21","Rookie","d8c923f8-3ccf-49c2-895a-c58ad280c088"
"Tetairoa McMillan","44","38.8","-0.13","","CAR","WR","22","Rookie","c00d3668-c5ca-41be-bbb3-30e421920276"
"Marvin Harrison","45","29.6","-0.59","74","ARI","WR","23","","799eb40c-a66a-4fd8-a8e3-186fc3f20ccb"
"Alvin Kamara","46","56.4","0.2","10","NO","RB","16","","d2928ec9-ae89-4894-aded-09b6602cf28e"
"Chuba Hubbard","47","54.5","0.16","16","CAR","RB","17","","a8c3cb2b-7728-4ee0-8f89-f218e5e0c409"
"James Conner","48","59.4","0.16","19","ARI","RB","18","","c43f5ce9-2f01-49df-83cb-c198ca9c49c8"
"Breece Hall","49","40.1","-0.45","35","NYJ","RB","19","","0f31f57a-5461-4802-811e-f84fde65f9b5"
"Calvin Ridley","50","51.7","0.07","88","TEN","WR","24","","2c4e3e6e-667c-44c3-8083-bfd11b1fd7a8"
"Jaylen Waddle","51","55.5","0.12","136","MIA","WR","25","","506c6382-05b9-4090-ada6-aa977ab6afca"
"Courtland Sutton","52","49.7","-0.03","54","DEN","WR","26","","7601e2e8-add1-4c8c-b169-b63a49fdf57b"
"DK Metcalf","53","50.1","-0.04","82","PIT","WR","27","","30669c4d-f918-49b2-9f5b-8bd47016d097"
"DeVonta Smith","54","52","-0.02","48","PHI","WR","28","","4bb0512e-9cfd-430d-9742-1fff9f043b18"
"Zay Flowers","55","57.6","0.06","80","BAL","WR","29","","655f249b-461d-426c-97c7-efc20870c660"
"Matthew Golden","56","70.4","0.22","","GB","WR","30","Rookie","53ef4d2b-2f6f-4b63-b1bc-a76c109cf4c4"
"Joe Burrow","57","59.6","0.06","41","CIN","QB","5","","08681b3b-8775-4637-84fa-e23da96e59f6"
"TreVeyon Henderson","58","48","-0.19","","NE","RB","20","Rookie","e04ddd15-a5ab-41e8-82b2-3dfc90a2c893"
"D.J. Moore","59","46.9","-0.26","70","CHI","WR","34","","47f49002-0e7d-4f51-9a15-525ef6397fde"
"Jakobi Meyers","60","71.8","0.16","69","LV","WR","31","","6d09867d-203b-4d91-975c-128125e7cf89"
"Emeka Egbuka","61","65.8","0.07","","TB","WR","32","Rookie","a41974fe-71b2-408e-847d-86405b104654"
"Jameson Williams","62","45.8","-0.35","51","DET","WR","35","","c3a3bd66-d55d-44f7-98f6-78450678fa87"
"Rome Odunze","63","62.3","-0.01","145","CHI","WR","33","","be004901-0a0f-41cd-ab83-c0d8d7ad916d"
"Jauan Jennings","64","73.1","0.12","53","SF","WR","36","","2d542871-3989-447d-89e6-9dcfbd6894e6"
"Ricky Pearsall","65","63.1","-0.03","92","SF","WR","37","","812a947e-6ecc-43ce-9572-ac9da7cc4bcb"
"Stefon Diggs","66","68.1","0.03","50","NE","WR","38","","e57459d1-a8ea-4e55-909d-06b378e09b02"
"Chris Olave","67","65.9","-0.02","98","NO","WR","39","","1b2c7c20-e458-454d-be39-7aaebabf1e30"
"Deebo Samuel","68","66.9","-0.02","94","WAS","WR","40","","533aaf00-6105-4dc7-9e32-ee6e0e78a66a"
"David Montgomery","69","75.7","0.09","31","DET","RB","21","","e4bcd565-12d4-4b4c-91b1-1b72541b24e2"
"RJ Harvey","70","60.3","-0.16","","DEN","RB","22","Rookie","fbc4cce8-3964-402c-a0a6-dbe13b5ebd86"
"Tony Pollard","71","73.6","0.04","62","TEN","RB","23","","5c510a1a-d9f3-47c5-8c7f-c9c7d0968dd5"
"Isiah Pacheco","72","72.7","0.01","172","KC","RB","24","","467dd20b-81e4-42a3-837a-ed937702925e"
"Patrick Mahomes","73","81.3","0.1","114","KC","QB","6","","4808cc03-7e41-4c33-974f-a1701a98324c"
"Rashee Rice","74","50.3","-0.47","","KC","WR","41","4-6 game suspension likely","f1e0fe78-af51-4e41-9f58-a8146a69c5a9"
"Jordan Addison","75","74.5","-0.01","43","MIN","WR","42","1-3 game suspension likely","411b0cfe-9139-43a5-a95c-748758368d75"
"Jerry Jeudy","76","70.9","-0.07","55","CLE","WR","43","","c34084aa-c044-4695-81ee-6328f98c591c"
"Travis Kelce","77","93.8","0.18","89","KC","TE","4","","bbd7c5bc-808f-4c97-80e1-6029515ff8bc"
"Sam LaPorta","78","76.6","-0.02","103","DET","TE","5","","a259e591-fec1-4185-a0b2-43a434cc9f49"
"Aaron Jones","79","80.3","0.02","45","MIN","RB","25","","f50101bc-fbfa-4a82-a625-c11c479cfbe8"
"Kaleb Johnson","80","73.1","-0.09","","PIT","RB","26","Rookie","ea213cff-af5a-4902-b17d-14591284ccac"
"D'Andre Swift","81","67.6","-0.2","63","CHI","RB","27","","94224657-62c9-4238-86f2-ba2c07ce0e4b"
"Travis Etienne Jr.","82","100","0.18","182","JAX","RB","28","","fb9df616-a7a2-4339-ab1a-b3e5dfd2278b"
"Brock Purdy","83","102.2","0.19","97","SF","QB","7","","a9944d33-2618-448b-9dfb-73b9a43b1296"
"Bo Nix","84","97.1","0.13","99","DEN","QB","8","","bfa23971-1c74-42b7-a7da-cf3bb80a1355"
"Kyler Murray","85","95.8","0.11","108","ARI","QB","9","","017dad8b-5da7-4e17-a567-10e147fbb7c7"
"Mark Andrews","86","98.7","0.13","96","BAL","TE","6","","f52f0cdf-de38-4cd9-a5c9-b54b2958ea05"
"T.J. Hockenson","87","86.3","-0.01","153","MIN","TE","7","","4ddaf397-6424-4910-b9ec-49aef1d2b69a"
"Rashid Shaheed","88","107.4","0.18","40","NO","WR","44","","8c7f9176-18b8-4f59-bc46-2c14a60bfed8"
"Zach Charbonnet","89","107.6","0.17","77","SEA","RB","29","","39526890-3152-4899-a948-99f0a9858b6f"
"Jordan Mason","90","84.8","-0.06","87","MIN","RB","30","","85474863-13c5-412b-a5fd-cebdd1383524"
"Tucker Kraft","91","117.2","0.22","118","GB","TE","8","","48dddfc4-9fbb-49f7-93ca-49b5bad5b640"
"Colston Loveland","92","113.3","0.19","","CHI","TE","9","Rookie","72f1fd78-4146-4527-8de9-823b13309425"
"Tyler Warren","93","102.8","0.1","","IND","TE","10","Rookie","59cd0550-2714-465f-a640-99957e7fc514"
"Jayden Reed","94","81.4","-0.15","83","GB","WR","45","","f234f298-dc09-48a1-8198-168a9c25c28c"
"Keon Coleman","95","95.3","0","169","BUF","WR","46","","d94128a2-2821-4fe3-95ee-ad6a026b85cb"
"Michael Pittman Jr.","96","95.5","-0.01","122","IND","WR","47","","1589e799-5723-4f51-a99a-817c1f5d9a61"
"Josh Downs","97","85.5","-0.13","67","IND","WR","48","","2965705e-121c-4f6f-a67e-200c1f221343"
"Cooper Kupp","98","98.5","0.01","46","SEA","WR","49","","c0c80e9d-fe68-441d-90d4-b5828752b9c7"
"Baker Mayfield","99","91.8","-0.08","56","TB","QB","10","","12a4ad78-4491-4aa3-8373-0fa48356c7f7"
"Darnell Mooney","100","103.4","0.03","71","ATL","WR","50","","eefaafc6-b10a-4794-a6dc-4233a1c2263f"
"Khalil Shakir","101","83.4","-0.21","113","BUF","WR","51","","55ba823b-3e25-4a1d-922d-9c622a052aaf"
"Cam Skattebo","102","115.9","0.12","","NYG","RB","31","Rookie","45040fd6-c586-4f05-b4a5-35e32042f5c8"
"Joe Mixon","103","90.3","-0.14","8","HOU","RB","32","","9da4da3d-00e5-494d-9b92-dd875a92a9c1"
"Chris Godwin","104","90.9","-0.14","13","TB","WR","52","Dislocated ankle","d0d1514c-26e3-405f-84de-8072bc2b0fa7"
"Keenan Allen","105","129.6","0.19","66","LAC","WR","53","","8086a0ab-51d0-4510-af6e-34603b9ad807"
"Dak Prescott","106","104.8","-0.01","162","DAL","QB","11","","1a3c579b-489d-476c-8e92-96396daccfa2"
"Caleb Williams","107","114.7","0.07","124","CHI","QB","12","","a6e88774-89df-4886-b850-16c63473fcbe"
"Jaylen Warren","108","90.6","-0.19","177","PIT","RB","33","","d8c284a1-8746-41fc-bd8e-fbfb20bf2e92"
"J.K. Dobbins","109","102.5","-0.06","42","DEN","RB","34","","fb971e03-d484-4d81-982d-0e0af12179e6"
"Tyrone Tracy","110","91.9","-0.2","81","NYG","RB","35","","c8fd58f1-4635-46b0-9727-6cdd493a63a0"
