"Player","Team","Pos","Rank","ADP","2023 Finish","2022 Finish","Id","Diff"
"Christian McCaffrey ","49ers","RB","1","1.3","1","3","9e801ec6-ed8e-49b1-8b66-90553d7dd7e2","0.23"
"CeeDee Lamb","Cowboys","WR","2","2.3","4","19","098d87b9-1fc9-4466-a7dd-7f35f697f506","0.13"
"Breece Hall","Jets","RB","3","7.3","18","17","3f671138-3ef9-437b-af4b-f865c1423161","0.59"
"Justin Jefferson","Vikings","WR","4","5.4","9","6","8209c653-34c2-4bc5-8434-d5a6d2c8b27b","0.26"
"Tyreek Hill","Dolphins","WR","5","2.8","3","8","a36d312f-0f65-4e3a-98ef-823608309b21","-0.79"
"A.J. Brown","Eagles","WR","6","8.8","13","18","2bad3d34-9960-4d9a-8fa7-6abc8d2ba1f7","0.32"
"Bijan Robinson","Falcons","RB","7","7.1","39","","7f4475be-2cd2-4e94-9272-9d6e1c6a6262","0.01"
"Amon-Ra St. Brown","Lions","WR","8","6.1","8","23","7b36b9f5-93c3-4fb7-8703-f89aa740c452","-0.31"
"Ja'Marr Chase","Bengals","WR","9","4.4","21","9","5a9b6074-7296-4571-94f8-6b9e803ba039","-1.05"
"Garrett Wilson","Jets","WR","10","10.2","91","55","c76953d5-dc07-49f6-85e2-731b919c09a0","0.02"
"Kyren Williams","Rams","RB","11","27.2","2","350","2ea6b394-3237-4644-8b49-69cf67b6e8a9","0.6"
"Puka Nacua","Rams","WR","12","11.7","14","","fb1781a7-ebfc-47c4-a925-18ad114c9834","-0.03"
"Jahmyr Gibbs","Lions","RB","13","12.5","17","","f098bc7a-7b26-4b95-8a2a-5603e0c79eab","-0.04"
"Jaylen Waddle","Dolphins","WR","14","19.8","68","26","0eca149b-3acb-4540-90b9-e573a3983e73","0.29"
"Cooper Kupp","Rams","WR","15","22.8","46","1","07d3867e-0154-4152-a798-18d6c7accd42","0.34"
"Jonathan Taylor","Colts","RB","16","15.9","34","32","b4792419-5e76-45de-864a-741ac6df7651","-0.01"
"Nico Collins","Texans","WR","17","17.7","20","206","0ca934b7-a6df-4df8-9f7b-f34f1f51d396","0.04"
"Saquon Barkley","Eagles","RB","18","18.7","26","10","5b733acd-4a48-40f0-9662-51e4540b0351","0.04"
"De'Von Achane","Dolphins","RB","19","21.6","5","","47a7e2a4-2f23-4670-ac09-1c20b7e4bb39","0.12"
